feedback_id,application_id,feedback_date,candidate_rating,candidate_sentiment,feedback_text
FDB00036,APP00030,2026-06-22,4,Positive,Good recruiter follow-up and clarity.
FDB00037,APP00031,2026-06-25,2,Positive,Good recruiter follow-up and clarity.
FDB00038,APP00031,2026-07-01,5,Positive,Process took longer than expected.
FDB00039,APP00032,2026-01-27,3,Negative,Role expectations were explained well.
FDB00040,APP00032,2026-02-04,2,Neutral,Interview scheduling could be improved.
FDB00041,APP00033,2026-02-03,5,Neutral,Process took longer than expected.
FDB00042,APP00034,2026-03-20,4,Negative,Clear communication and fast process.
FDB00043,APP00034,2026-03-24,5,Negative,Clear communication and fast process.
FDB00044,APP00036,2026-01-22,5,Positive,Good recruiter follow-up and clarity.
FDB00045,APP00036,2026-01-28,1,Negative,Interview scheduling could be improved.
FDB00046,APP00037,2026-02-25,4,Negative,Interview scheduling could be improved.
FDB00047,APP00037,2026-03-02,1,Positive,Interview scheduling could be improved.
FDB00048,APP00039,2026-05-16,4,Neutral,Interview scheduling could be improved.
FDB00049,APP00039,2026-05-21,1,Positive,Clear communication and fast process.
FDB00050,APP00040,2026-01-18,3,Neutral,Clear communication and fast process.
FDB00051,APP00043,2026-02-04,1,Negative,Role expectations were explained well.
FDB00052,APP00043,2026-02-13,4,Negative,Role expectations were explained well.
FDB00053,APP00047,2026-04-15,1,Neutral,Process took longer than expected.
FDB00054,APP00047,2026-04-17,1,Neutral,Clear communication and fast process.
FDB00055,APP00048,2026-01-31,3,Positive,Role expectations were explained well.
FDB00056,APP00048,2026-02-04,1,Positive,Clear communication and fast process.
FDB00057,APP00050,2026-06-17,5,Positive,Role expectations were explained well.
FDB00058,APP00051,2026-03-02,1,Positive,Clear communication and fast process.
FDB00059,APP00051,2026-03-06,2,Negative,Role expectations were explained well.
FDB00060,APP00052,2026-04-10,5,Neutral,Interview scheduling could be improved.
FDB00061,APP00053,2026-03-03,3,Positive,Good recruiter follow-up and clarity.
FDB00062,APP00053,2026-03-07,1,Neutral,Process took longer than expected.
FDB00063,APP00054,2026-03-17,4,Negative,Clear communication and fast process.
FDB00064,APP00056,2026-05-17,1,Neutral,Good recruiter follow-up and clarity.
FDB00065,APP00056,2026-05-19,5,Positive,Clear communication and fast process.
FDB00066,APP00058,2026-06-14,1,Neutral,Process took longer than expected.
FDB00067,APP00059,2026-06-23,3,Positive,Interview scheduling could be improved.
FDB00068,APP00059,2026-07-02,5,Positive,Role expectations were explained well.
FDB00069,APP00062,2026-05-30,2,Positive,Process took longer than expected.
FDB00070,APP00063,2026-02-28,5,Negative,Good recruiter follow-up and clarity.
FDB00071,APP00063,2026-03-06,5,Negative,Role expectations were explained well.
FDB00072,APP00065,2026-03-14,2,Negative,Role expectations were explained well.
FDB00073,APP00066,2026-04-09,5,Positive,Interview scheduling could be improved.
FDB00074,APP00066,2026-04-14,1,Positive,Role expectations were explained well.
FDB00075,APP00068,2026-05-25,2,Positive,Clear communication and fast process.
FDB00076,APP00068,2026-05-31,4,Negative,Role expectations were explained well.
FDB00077,APP00070,2026-04-03,5,Negative,Good recruiter follow-up and clarity.
FDB00078,APP00072,2026-05-07,1,Positive,Interview scheduling could be improved.
FDB00079,APP00072,2026-05-11,4,Negative,Clear communication and fast process.
FDB00080,APP00073,2026-01-22,5,Positive,Interview scheduling could be improved.
FDB00081,APP00076,2026-06-18,1,Negative,Interview scheduling could be improved.
FDB00082,APP00076,2026-06-27,1,Positive,Good recruiter follow-up and clarity.
FDB00083,APP00079,2026-04-25,5,Neutral,Role expectations were explained well.
FDB00084,APP00079,2026-05-01,4,Positive,Interview scheduling could be improved.
FDB00085,APP00080,2026-03-01,5,Positive,Clear communication and fast process.
FDB00086,APP00081,2026-04-10,1,Negative,Role expectations were explained well.
FDB00087,APP00081,2026-04-19,3,Neutral,Process took longer than expected.
FDB00088,APP00082,2026-04-22,3,Negative,Clear communication and fast process.
FDB00089,APP00083,2026-04-13,4,Negative,Role expectations were explained well.
FDB00090,APP00083,2026-04-20,2,Neutral,Role expectations were explained well.
FDB00091,APP00084,2026-05-31,1,Negative,Good recruiter follow-up and clarity.
FDB00092,APP00084,2026-06-06,3,Negative,Process took longer than expected.
FDB00093,APP00086,2026-02-26,4,Positive,Clear communication and fast process.
FDB00094,APP00086,2026-03-02,4,Neutral,Clear communication and fast process.
FDB00095,APP00089,2026-06-14,4,Negative,Interview scheduling could be improved.
FDB00096,APP00089,2026-06-22,4,Neutral,Process took longer than expected.
FDB00097,APP00090,2026-02-21,2,Neutral,Process took longer than expected.
FDB00098,APP00090,2026-03-01,2,Neutral,Role expectations were explained well.
FDB00099,APP00091,2026-03-01,3,Negative,Clear communication and fast process.
FDB00100,APP00093,2026-04-15,5,Neutral,Good recruiter follow-up and clarity.
FDB00101,APP00094,2026-03-05,4,Negative,Good recruiter follow-up and clarity.
FDB00102,APP00095,2026-06-08,2,Neutral,Interview scheduling could be improved.
FDB00103,APP00096,2026-05-09,2,Neutral,Role expectations were explained well.
FDB00104,APP00096,2026-05-14,1,Positive,Process took longer than expected.
FDB00105,APP00097,2026-01-14,3,Negative,Process took longer than expected.
FDB00106,APP00098,2026-04-09,5,Negative,Role expectations were explained well.
FDB00107,APP00098,2026-04-11,3,Positive,Role expectations were explained well.
FDB00108,APP00100,2026-02-28,1,Neutral,Good recruiter follow-up and clarity.
FDB00109,APP00102,2026-04-09,2,Positive,Role expectations were explained well.
FDB00110,APP00102,2026-04-12,2,Positive,Good recruiter follow-up and clarity.
FDB00111,APP00104,2026-05-08,2,Negative,Good recruiter follow-up and clarity.
FDB00112,APP00104,2026-05-13,5,Positive,Process took longer than expected.
FDB00113,APP00105,2026-06-13,4,Negative,Role expectations were explained well.
FDB00114,APP00105,2026-06-19,5,Neutral,Clear communication and fast process.
FDB00115,APP00106,2026-07-05,2,Positive,Interview scheduling could be improved.
FDB00116,APP00107,2026-06-29,4,Positive,Role expectations were explained well.
FDB00117,APP00107,2026-07-04,3,Positive,Clear communication and fast process.
FDB00118,APP00108,2026-05-14,4,Positive,Role expectations were explained well.
FDB00119,APP00108,2026-05-21,2,Neutral,Good recruiter follow-up and clarity.
FDB00120,APP00109,2026-04-24,4,Positive,Role expectations were explained well.
FDB00121,APP00111,2026-02-14,1,Positive,Process took longer than expected.
FDB00122,APP00111,2026-02-17,1,Positive,Good recruiter follow-up and clarity.
FDB00123,APP00112,2026-04-17,4,Neutral,Interview scheduling could be improved.
FDB00124,APP00112,2026-04-21,4,Neutral,Role expectations were explained well.
FDB00125,APP00113,2026-04-05,5,Neutral,Good recruiter follow-up and clarity.
FDB00126,APP00113,2026-04-12,4,Neutral,Interview scheduling could be improved.
FDB00127,APP00115,2026-05-31,1,Neutral,Good recruiter follow-up and clarity.
FDB00128,APP00115,2026-06-07,3,Negative,Clear communication and fast process.
FDB00129,APP00116,2026-04-15,4,Neutral,Clear communication and fast process.
FDB00130,APP00118,2026-05-04,1,Negative,Role expectations were explained well.
FDB00131,APP00118,2026-05-07,5,Positive,Clear communication and fast process.
FDB00132,APP00119,2026-01-27,4,Negative,Good recruiter follow-up and clarity.
FDB00133,APP00119,2026-02-05,2,Negative,Role expectations were explained well.
FDB00134,APP00121,2026-06-30,2,Negative,Process took longer than expected.
FDB00135,APP00124,2026-01-28,4,Negative,Process took longer than expected.
FDB00136,APP00124,2026-02-05,5,Neutral,Clear communication and fast process.
FDB00137,APP00125,2026-03-17,5,Neutral,Clear communication and fast process.
FDB00138,APP00125,2026-03-19,1,Neutral,Good recruiter follow-up and clarity.
FDB00139,APP00126,2026-03-02,3,Negative,Role expectations were explained well.
FDB00140,APP00126,2026-03-08,5,Neutral,Clear communication and fast process.
FDB00141,APP00128,2026-06-24,3,Positive,Clear communication and fast process.
FDB00142,APP00129,2026-05-23,5,Negative,Process took longer than expected.
FDB00143,APP00130,2026-01-30,1,Neutral,Role expectations were explained well.
FDB00144,APP00130,2026-02-07,1,Negative,Interview scheduling could be improved.
FDB00145,APP00131,2026-04-07,1,Negative,Clear communication and fast process.
FDB00146,APP00131,2026-04-09,3,Neutral,Interview scheduling could be improved.
FDB00147,APP00132,2026-01-31,1,Neutral,Process took longer than expected.
FDB00148,APP00136,2026-03-06,3,Neutral,Clear communication and fast process.
FDB00149,APP00136,2026-03-10,4,Neutral,Interview scheduling could be improved.
FDB00150,APP00137,2026-06-14,2,Neutral,Good recruiter follow-up and clarity.
FDB00151,APP00137,2026-06-22,3,Positive,Process took longer than expected.
FDB00152,APP00139,2026-04-06,4,Positive,Good recruiter follow-up and clarity.
FDB00153,APP00139,2026-04-13,1,Positive,Interview scheduling could be improved.
FDB00154,APP00141,2026-05-26,2,Neutral,Good recruiter follow-up and clarity.
FDB00155,APP00141,2026-06-04,4,Negative,Process took longer than expected.
FDB00156,APP00142,2026-03-30,5,Positive,Role expectations were explained well.
FDB00157,APP00142,2026-04-06,3,Neutral,Good recruiter follow-up and clarity.
FDB00158,APP00143,2026-03-30,3,Neutral,Good recruiter follow-up and clarity.
FDB00159,APP00143,2026-04-04,3,Neutral,Good recruiter follow-up and clarity.
FDB00160,APP00144,2026-05-20,3,Positive,Role expectations were explained well.
FDB00161,APP00144,2026-05-28,2,Neutral,Clear communication and fast process.
FDB00162,APP00145,2026-04-26,5,Negative,Role expectations were explained well.
FDB00163,APP00146,2026-05-27,2,Positive,Clear communication and fast process.
FDB00164,APP00146,2026-06-04,4,Positive,Good recruiter follow-up and clarity.
FDB00165,APP00153,2026-04-22,1,Negative,Interview scheduling could be improved.
FDB00166,APP00153,2026-05-01,1,Negative,Clear communication and fast process.
FDB00167,APP00154,2026-02-22,4,Positive,Interview scheduling could be improved.
FDB00168,APP00154,2026-03-01,3,Positive,Clear communication and fast process.
FDB00169,APP00155,2026-01-31,4,Negative,Good recruiter follow-up and clarity.
FDB00170,APP00157,2026-03-21,3,Positive,Process took longer than expected.
FDB00171,APP00158,2026-05-28,2,Neutral,Role expectations were explained well.
FDB00172,APP00158,2026-06-03,1,Positive,Process took longer than expected.
FDB00173,APP00159,2026-06-27,4,Negative,Good recruiter follow-up and clarity.
FDB00174,APP00159,2026-07-01,2,Positive,Interview scheduling could be improved.
FDB00175,APP00163,2026-03-28,4,Neutral,Role expectations were explained well.
FDB00176,APP00163,2026-04-04,1,Neutral,Clear communication and fast process.
FDB00177,APP00164,2026-06-30,3,Negative,Role expectations were explained well.
FDB00178,APP00164,2026-07-04,4,Neutral,Process took longer than expected.
FDB00179,APP00166,2026-02-20,3,Negative,Role expectations were explained well.
FDB00180,APP00168,2026-05-02,1,Positive,Clear communication and fast process.
FDB00181,APP00169,2026-02-18,3,Neutral,Interview scheduling could be improved.
FDB00182,APP00169,2026-02-25,1,Neutral,Role expectations were explained well.
FDB00183,APP00171,2026-01-25,4,Neutral,Process took longer than expected.
FDB00184,APP00172,2026-02-18,1,Positive,Role expectations were explained well.
FDB00185,APP00172,2026-02-20,3,Negative,Role expectations were explained well.
FDB00186,APP00174,2026-02-13,5,Positive,Role expectations were explained well.
FDB00187,APP00174,2026-02-21,5,Positive,Clear communication and fast process.
FDB00188,APP00176,2026-04-13,2,Negative,Clear communication and fast process.
FDB00189,APP00176,2026-04-17,5,Neutral,Good recruiter follow-up and clarity.
FDB00190,APP00178,2026-05-08,4,Negative,Interview scheduling could be improved.
FDB00191,APP00178,2026-05-10,1,Negative,Good recruiter follow-up and clarity.
FDB00192,APP00179,2026-05-26,1,Positive,Clear communication and fast process.
FDB00193,APP00179,2026-06-04,5,Neutral,Good recruiter follow-up and clarity.
FDB00194,APP00180,2026-02-14,2,Negative,Interview scheduling could be improved.
FDB00195,APP00182,2026-04-23,5,Negative,Interview scheduling could be improved.
FDB00196,APP00183,2026-01-27,4,Negative,Interview scheduling could be improved.
FDB00197,APP00183,2026-02-04,2,Negative,Interview scheduling could be improved.
FDB00198,APP00185,2026-01-28,2,Negative,Good recruiter follow-up and clarity.
FDB00199,APP00185,2026-02-06,1,Positive,Interview scheduling could be improved.
FDB00200,APP00186,2026-05-29,2,Negative,Process took longer than expected.
FDB00201,APP00187,2026-04-15,1,Positive,Interview scheduling could be improved.
FDB00202,APP00187,2026-04-18,4,Positive,Role expectations were explained well.
FDB00203,APP00188,2026-01-18,2,Positive,Good recruiter follow-up and clarity.
FDB00204,APP00194,2026-04-25,3,Positive,Role expectations were explained well.
FDB00205,APP00194,2026-05-04,4,Negative,Role expectations were explained well.
FDB00206,APP00195,2026-03-23,5,Positive,Interview scheduling could be improved.
FDB00207,APP00196,2026-05-04,4,Positive,Process took longer than expected.
FDB00208,APP00199,2026-04-04,5,Positive,Good recruiter follow-up and clarity.
FDB00209,APP00199,2026-04-11,3,Positive,Good recruiter follow-up and clarity.
FDB00210,APP00200,2026-03-11,4,Negative,Good recruiter follow-up and clarity.
FDB00211,APP00200,2026-03-18,1,Neutral,Role expectations were explained well.
FDB00212,APP00201,2026-03-15,5,Positive,Process took longer than expected.
FDB00213,APP00201,2026-03-17,3,Negative,Clear communication and fast process.
FDB00214,APP00202,2026-03-29,5,Neutral,Interview scheduling could be improved.
FDB00215,APP00202,2026-04-06,2,Negative,Good recruiter follow-up and clarity.
FDB00216,APP00203,2026-04-26,4,Neutral,Interview scheduling could be improved.
FDB00217,APP00204,2026-02-28,5,Positive,Clear communication and fast process.
FDB00218,APP00204,2026-03-04,4,Positive,Process took longer than expected.
FDB00219,APP00205,2026-02-15,5,Neutral,Interview scheduling could be improved.
FDB00220,APP00205,2026-02-21,5,Negative,Good recruiter follow-up and clarity.
FDB00221,APP00208,2026-03-06,3,Negative,Clear communication and fast process.
FDB00222,APP00208,2026-03-08,4,Negative,Role expectations were explained well.
FDB00223,APP00209,2026-02-18,5,Negative,Interview scheduling could be improved.
FDB00224,APP00209,2026-02-26,2,Negative,Clear communication and fast process.
FDB00225,APP00210,2026-02-02,2,Neutral,Clear communication and fast process.
FDB00226,APP00210,2026-02-10,4,Negative,Interview scheduling could be improved.
FDB00227,APP00212,2026-06-25,3,Negative,Process took longer than expected.
FDB00228,APP00212,2026-07-01,1,Negative,Role expectations were explained well.
FDB00229,APP00213,2026-05-19,2,Neutral,Interview scheduling could be improved.
FDB00230,APP00214,2026-06-16,1,Neutral,Clear communication and fast process.
FDB00231,APP00214,2026-06-22,2,Neutral,Role expectations were explained well.
FDB00232,APP00215,2026-01-22,2,Negative,Process took longer than expected.
FDB00233,APP00215,2026-01-29,4,Positive,Role expectations were explained well.
FDB00234,APP00216,2026-02-24,1,Neutral,Process took longer than expected.
FDB00235,APP00216,2026-03-03,4,Neutral,Role expectations were explained well.
FDB00236,APP00218,2026-03-20,4,Positive,Interview scheduling could be improved.
FDB00237,APP00218,2026-03-28,5,Neutral,Clear communication and fast process.
FDB00238,APP00220,2026-05-25,3,Negative,Interview scheduling could be improved.
FDB00239,APP00220,2026-05-28,4,Neutral,Process took longer than expected.
FDB00240,APP00221,2026-03-07,5,Positive,Good recruiter follow-up and clarity.
FDB00241,APP00222,2026-05-13,2,Neutral,Process took longer than expected.
FDB00242,APP00222,2026-05-17,5,Positive,Good recruiter follow-up and clarity.
FDB00243,APP00224,2026-05-28,5,Negative,Clear communication and fast process.
FDB00244,APP00225,2026-04-04,5,Neutral,Good recruiter follow-up and clarity.
FDB00245,APP00226,2026-03-21,2,Negative,Role expectations were explained well.
FDB00246,APP00226,2026-03-23,2,Neutral,Good recruiter follow-up and clarity.
FDB00247,APP00227,2026-06-23,5,Positive,Process took longer than expected.
FDB00248,APP00227,2026-07-01,3,Positive,Interview scheduling could be improved.
FDB00249,APP00228,2026-03-27,1,Positive,Role expectations were explained well.
FDB00250,APP00228,2026-04-03,4,Positive,Role expectations were explained well.
FDB00251,APP00229,2026-04-05,1,Negative,Clear communication and fast process.
FDB00252,APP00230,2026-04-20,3,Neutral,Role expectations were explained well.
FDB00253,APP00232,2026-05-14,3,Negative,Role expectations were explained well.
FDB00254,APP00234,2026-04-06,2,Positive,Process took longer than expected.
FDB00255,APP00234,2026-04-12,4,Neutral,Good recruiter follow-up and clarity.
FDB00256,APP00237,2026-04-20,1,Positive,Clear communication and fast process.
FDB00257,APP00237,2026-04-27,3,Negative,Clear communication and fast process.
FDB00258,APP00238,2026-02-12,4,Negative,Role expectations were explained well.
FDB00259,APP00238,2026-02-15,3,Negative,Role expectations were explained well.
FDB00260,APP00239,2026-02-07,1,Neutral,Interview scheduling could be improved.
FDB00261,APP00241,2026-04-29,2,Neutral,Clear communication and fast process.
FDB00262,APP00241,2026-05-08,5,Positive,Good recruiter follow-up and clarity.
FDB00263,APP00242,2026-03-29,2,Positive,Interview scheduling could be improved.
FDB00264,APP00242,2026-04-01,1,Neutral,Interview scheduling could be improved.
FDB00265,APP00245,2026-04-08,3,Neutral,Process took longer than expected.
FDB00266,APP00245,2026-04-10,1,Negative,Good recruiter follow-up and clarity.
FDB00267,APP00250,2026-06-21,2,Neutral,Role expectations were explained well.
FDB00268,APP00250,2026-06-27,3,Negative,Clear communication and fast process.
FDB00269,APP00251,2026-05-04,3,Positive,Clear communication and fast process.
FDB00270,APP00251,2026-05-13,4,Neutral,Clear communication and fast process.
FDB00271,APP00252,2026-03-14,3,Neutral,Good recruiter follow-up and clarity.
FDB00272,APP00252,2026-03-22,1,Neutral,Clear communication and fast process.
FDB00273,APP00253,2026-03-24,3,Negative,Clear communication and fast process.
FDB00274,APP00253,2026-03-31,3,Positive,Clear communication and fast process.
FDB00275,APP00255,2026-06-22,4,Positive,Clear communication and fast process.
FDB00276,APP00255,2026-06-28,3,Negative,Role expectations were explained well.
FDB00277,APP00256,2026-05-24,2,Positive,Good recruiter follow-up and clarity.
FDB00278,APP00256,2026-06-02,1,Negative,Process took longer than expected.
FDB00279,APP00258,2026-05-18,5,Negative,Process took longer than expected.
FDB00280,APP00258,2026-05-24,5,Negative,Role expectations were explained well.
FDB00281,APP00259,2026-05-22,1,Neutral,Good recruiter follow-up and clarity.
FDB00282,APP00259,2026-05-24,5,Negative,Interview scheduling could be improved.
FDB00283,APP00263,2026-02-16,2,Neutral,Clear communication and fast process.
FDB00284,APP00263,2026-02-21,5,Negative,Clear communication and fast process.
FDB00285,APP00264,2026-02-02,5,Negative,Process took longer than expected.
FDB00286,APP00264,2026-02-05,1,Neutral,Process took longer than expected.
FDB00287,APP00267,2026-01-24,2,Neutral,Clear communication and fast process.
FDB00288,APP00267,2026-01-31,4,Neutral,Clear communication and fast process.
FDB00289,APP00268,2026-03-31,2,Negative,Interview scheduling could be improved.
FDB00290,APP00269,2026-04-20,4,Neutral,Clear communication and fast process.
FDB00291,APP00269,2026-04-22,4,Neutral,Clear communication and fast process.
FDB00292,APP00270,2026-06-02,5,Neutral,Good recruiter follow-up and clarity.
FDB00293,APP00271,2026-06-08,3,Negative,Role expectations were explained well.
FDB00294,APP00271,2026-06-10,5,Positive,Clear communication and fast process.
FDB00295,APP00272,2026-05-16,2,Positive,Interview scheduling could be improved.
FDB00296,APP00273,2026-06-30,2,Neutral,Clear communication and fast process.
FDB00297,APP00274,2026-05-29,3,Neutral,Good recruiter follow-up and clarity.
FDB00298,APP00274,2026-05-31,1,Negative,Interview scheduling could be improved.
FDB00299,APP00277,2026-03-12,4,Neutral,Clear communication and fast process.
FDB00300,APP00277,2026-03-19,5,Positive,Role expectations were explained well.
FDB00301,APP00279,2026-05-06,5,Neutral,Role expectations were explained well.
FDB00302,APP00279,2026-05-13,3,Negative,Process took longer than expected.
FDB00303,APP00280,2026-04-18,5,Neutral,Role expectations were explained well.
FDB00304,APP00282,2026-03-03,4,Positive,Interview scheduling could be improved.
FDB00305,APP00282,2026-03-09,2,Positive,Interview scheduling could be improved.
FDB00306,APP00286,2026-05-15,2,Positive,Process took longer than expected.
FDB00307,APP00288,2026-03-06,5,Neutral,Process took longer than expected.
FDB00308,APP00291,2026-05-07,3,Neutral,Role expectations were explained well.
FDB00309,APP00291,2026-05-12,5,Neutral,Interview scheduling could be improved.
FDB00310,APP00292,2026-04-22,2,Neutral,Interview scheduling could be improved.
FDB00311,APP00293,2026-03-17,2,Negative,Interview scheduling could be improved.
FDB00312,APP00293,2026-03-19,2,Negative,Good recruiter follow-up and clarity.
FDB00313,APP00294,2026-06-09,1,Neutral,Process took longer than expected.
FDB00314,APP00294,2026-06-18,3,Neutral,Good recruiter follow-up and clarity.
FDB00315,APP00297,2026-02-08,5,Negative,Role expectations were explained well.
FDB00316,APP00298,2026-06-08,5,Negative,Clear communication and fast process.
FDB00317,APP00300,2026-03-31,4,Neutral,Interview scheduling could be improved.
FDB00318,APP00300,2026-04-07,4,Positive,Good recruiter follow-up and clarity.
FDB00319,APP00303,2026-04-19,4,Neutral,Process took longer than expected.
FDB00320,APP00307,2026-06-06,4,Positive,Process took longer than expected.
FDB00321,APP00307,2026-06-11,4,Neutral,Process took longer than expected.
FDB00322,APP00311,2026-06-07,1,Positive,Interview scheduling could be improved.
FDB00323,APP00312,2026-02-05,1,Negative,Role expectations were explained well.
FDB00324,APP00313,2026-02-11,2,Neutral,Clear communication and fast process.
FDB00325,APP00315,2026-06-12,3,Positive,Good recruiter follow-up and clarity.
FDB00326,APP00315,2026-06-18,3,Positive,Clear communication and fast process.
FDB00327,APP00316,2026-05-12,2,Neutral,Good recruiter follow-up and clarity.
FDB00328,APP00316,2026-05-16,5,Negative,Role expectations were explained well.
FDB00329,APP00318,2026-06-14,3,Neutral,Role expectations were explained well.
FDB00330,APP00318,2026-06-18,3,Positive,Interview scheduling could be improved.
FDB00331,APP00320,2026-05-20,1,Neutral,Role expectations were explained well.
FDB00332,APP00321,2026-03-20,4,Negative,Interview scheduling could be improved.
FDB00333,APP00322,2026-04-25,2,Neutral,Interview scheduling could be improved.
FDB00334,APP00322,2026-05-03,4,Positive,Good recruiter follow-up and clarity.
FDB00335,APP00324,2026-05-13,3,Neutral,Role expectations were explained well.
FDB00336,APP00324,2026-05-15,1,Negative,Role expectations were explained well.
FDB00337,APP00325,2026-04-13,1,Neutral,Process took longer than expected.
FDB00338,APP00325,2026-04-16,2,Negative,Good recruiter follow-up and clarity.
FDB00339,APP00327,2026-03-26,3,Negative,Process took longer than expected.
FDB00340,APP00328,2026-07-02,2,Negative,Role expectations were explained well.
FDB00341,APP00329,2026-06-30,1,Positive,Process took longer than expected.
FDB00342,APP00329,2026-07-04,1,Neutral,Process took longer than expected.
FDB00343,APP00330,2026-03-20,1,Negative,Good recruiter follow-up and clarity.
FDB00344,APP00331,2026-03-15,1,Neutral,Process took longer than expected.
FDB00345,APP00332,2026-03-07,4,Negative,Clear communication and fast process.
FDB00346,APP00332,2026-03-14,2,Neutral,Good recruiter follow-up and clarity.
FDB00347,APP00333,2026-02-04,1,Positive,Clear communication and fast process.
FDB00348,APP00335,2026-01-24,3,Positive,Interview scheduling could be improved.
FDB00349,APP00336,2026-02-13,5,Positive,Interview scheduling could be improved.
FDB00350,APP00338,2026-02-14,3,Negative,Interview scheduling could be improved.
FDB00351,APP00339,2026-04-26,2,Positive,Interview scheduling could be improved.
FDB00352,APP00339,2026-05-02,4,Neutral,Process took longer than expected.
FDB00353,APP00340,2026-05-29,4,Positive,Clear communication and fast process.
FDB00354,APP00341,2026-02-05,1,Neutral,Clear communication and fast process.
FDB00355,APP00341,2026-02-10,5,Negative,Interview scheduling could be improved.
FDB00356,APP00345,2026-04-01,3,Negative,Interview scheduling could be improved.
FDB00357,APP00345,2026-04-05,2,Neutral,Process took longer than expected.
FDB00358,APP00347,2026-05-08,3,Neutral,Good recruiter follow-up and clarity.
FDB00359,APP00347,2026-05-10,5,Negative,Interview scheduling could be improved.
FDB00360,APP00348,2026-01-25,3,Positive,Role expectations were explained well.
FDB00361,APP00349,2026-02-22,2,Positive,Good recruiter follow-up and clarity.
FDB00362,APP00351,2026-06-03,1,Negative,Interview scheduling could be improved.
FDB00363,APP00351,2026-06-06,3,Neutral,Role expectations were explained well.
FDB00364,APP00353,2026-05-30,1,Positive,Process took longer than expected.
FDB00365,APP00354,2026-03-14,4,Negative,Interview scheduling could be improved.
FDB00366,APP00354,2026-03-22,2,Neutral,Process took longer than expected.
FDB00367,APP00355,2026-03-10,4,Neutral,Role expectations were explained well.
FDB00368,APP00357,2026-02-19,5,Neutral,Interview scheduling could be improved.
FDB00369,APP00357,2026-02-27,2,Neutral,Clear communication and fast process.
FDB00370,APP00359,2026-03-08,3,Positive,Good recruiter follow-up and clarity.
FDB00371,APP00359,2026-03-15,5,Positive,Interview scheduling could be improved.
FDB00372,APP00360,2026-04-05,3,Negative,Interview scheduling could be improved.
FDB00373,APP00360,2026-04-07,2,Positive,Interview scheduling could be improved.
FDB00374,APP00362,2026-04-13,2,Positive,Interview scheduling could be improved.
FDB00375,APP00362,2026-04-22,4,Neutral,Process took longer than expected.
FDB00376,APP00364,2026-06-02,4,Neutral,Role expectations were explained well.
FDB00377,APP00365,2026-02-03,4,Neutral,Process took longer than expected.
FDB00378,APP00365,2026-02-08,4,Positive,Process took longer than expected.
FDB00379,APP00366,2026-02-23,5,Neutral,Interview scheduling could be improved.
FDB00380,APP00366,2026-02-26,3,Positive,Role expectations were explained well.
